smiles	molid
COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2	mol154
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1	mol155
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1	mol156
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1	mol157
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1	mol158
Cc1ccccc1OCC(O)CNCCOc1ccc(C(N)=O)cc1	mol159
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC	mol160
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12	mol161
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1	mol162
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1	mol163
OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1	mol164
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2	mol165
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F	mol166
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1	mol167
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	mol168
CN1CC(C(=O)N[C@]2(C)O[C@]3(O)C(C2=O)[C@@H](Cc2ccccc2)C(=O)N2CCC[C@H]23)C=C2c3cccc4[nH]cc(c34)C[C@H]21	mol169
C1CN1	mol170
CCN	mol171
CN1CC1	mol172
C1CNC1	mol173
CN(C)C	mol174
CCNC	mol175
NCCF	mol176
C1CCNC1	mol177
CCN(C)C	mol178
CCCCN	mol179
NCC(=O)O	mol180
NCCCF	mol181
NCC(F)F	mol182
CN(C)CC#N	mol183
C1CCNCC1	mol184
CN1CCCC1	mol185
C1COCCN1	mol186
CCN(C)CC	mol187
CCCN(C)C	mol188
NCCC(=O)O	mol189
FC1CCNC1	mol190
CN(C)CCO	mol191
CN(C)CCC#N	mol192
NCC(F)(F)F	mol193
C1CCCNCC1	mol194
CN1CCCCC1	mol195
CN1CCOCC1	mol196
CCN(CC)CC	mol197
CCCCN(C)C	mol198
CCOC(=O)CN	mol199
NCCCC(=O)O	mol200
FC1CCNCC1	mol201
FC1CCCNC1	mol202
CN(C)CCCO	mol203
COCCN(C)C	mol204
C1CSCCN1	mol205
FC1(F)CCNC1	mol206
CN(C)CCCC#N	mol207
NCCC(F)(F)F	mol208
CNCC(F)(F)F	mol209
CN1CCCCCC1	mol210
N#CC1CC(F)CN1	mol211
